,name,NBA_and_ones,NBA_assist_percentage,NBA_assists,NBA_block_percentage,NBA_blocking_fouls,NBA_blocks,NBA_box_plus_minus,NBA_center_percentage,NBA_defensive_box_plus_minus,NBA_defensive_rebound_percentage,NBA_defensive_rebounds,NBA_defensive_win_shares,NBA_dunks,NBA_effective_field_goal_percentage,NBA_field_goal_attempts,NBA_field_goal_perc_sixteen_foot_plus_two_pointers,NBA_field_goal_perc_ten_to_sixteen_feet,NBA_field_goal_perc_three_to_ten_feet,NBA_field_goal_perc_zero_to_three_feet,NBA_field_goal_percentage,NBA_field_goals,NBA_free_throw_attempt_rate,NBA_free_throw_attempts,NBA_free_throw_percentage,NBA_free_throws,NBA_games_played,NBA_games_started,NBA_half_court_heaves,NBA_half_court_heaves_made,NBA_height,NBA_lost_ball_turnovers,NBA_minutes_played,NBA_nationality,NBA_net_plus_minus,NBA_offensive_box_plus_minus,NBA_offensive_fouls,NBA_offensive_rebound_percentage,NBA_offensive_rebounds,NBA_offensive_win_shares,NBA_on_court_plus_minus,NBA_other_turnovers,NBA_passing_turnovers,NBA_percentage_field_goals_as_dunks,NBA_percentage_of_three_pointers_from_corner,NBA_percentage_shots_three_pointers,NBA_percentage_shots_two_pointers,NBA_percentage_sixteen_foot_plus_two_pointers,NBA_percentage_ten_to_sixteen_footers,NBA_percentage_three_to_ten_footers,NBA_percentage_zero_to_three_footers,NBA_personal_fouls,NBA_player_efficiency_rating,NBA_player_id,NBA_point_guard_percentage,NBA_points,NBA_points_generated_by_assists,NBA_position,NBA_power_forward_percentage,NBA_salary,NBA_shooting_distance,NBA_shooting_fouls,NBA_shooting_fouls_drawn,NBA_shooting_guard_percentage,NBA_shots_blocked,NBA_small_forward_percentage,NBA_steal_percentage,NBA_steals,NBA_take_fouls,NBA_team_abbreviation,NBA_three_point_attempt_rate,NBA_three_point_attempts,NBA_three_point_percentage,NBA_three_point_shot_percentage_from_corner,NBA_three_pointers,NBA_three_pointers_assisted_percentage,NBA_total_rebound_percentage,NBA_total_rebounds,NBA_true_shooting_percentage,NBA_turnover_percentage,NBA_turnovers,NBA_two_point_attempts,NBA_two_point_percentage,NBA_two_pointers,NBA_two_pointers_assisted_percentage,NBA_usage_percentage,NBA_value_over_replacement_player,NBA_weight,NBA_win_shares,NBA_win_shares_per_48_minutes,NCAAB_assist_percentage,NCAAB_assists,NCAAB_block_percentage,NCAAB_blocks,NCAAB_box_plus_minus,NCAAB_conference,NCAAB_defensive_box_plus_minus,NCAAB_defensive_rebound_percentage,NCAAB_defensive_rebounds,NCAAB_defensive_win_shares,NCAAB_effective_field_goal_percentage,NCAAB_field_goal_attempts,NCAAB_field_goal_percentage,NCAAB_field_goals,NCAAB_free_throw_attempt_rate,NCAAB_free_throw_attempts,NCAAB_free_throw_percentage,NCAAB_free_throws,NCAAB_games_played,NCAAB_games_started,NCAAB_height,NCAAB_minutes_played,NCAAB_offensive_box_plus_minus,NCAAB_offensive_rebound_percentage,NCAAB_offensive_rebounds,NCAAB_offensive_win_shares,NCAAB_personal_fouls,NCAAB_player_efficiency_rating,NCAAB_player_id,NCAAB_points,NCAAB_points_produced,NCAAB_position,NCAAB_steal_percentage,NCAAB_steals,NCAAB_team_abbreviation,NCAAB_three_point_attempt_rate,NCAAB_three_point_attempts,NCAAB_three_point_percentage,NCAAB_three_pointers,NCAAB_total_rebound_percentage,NCAAB_total_rebounds,NCAAB_true_shooting_percentage,NCAAB_turnover_percentage,NCAAB_turnovers,NCAAB_two_point_attempts,NCAAB_two_point_percentage,NCAAB_two_pointers,NCAAB_usage_percentage,NCAAB_weight,NCAAB_win_shares,NCAAB_win_shares_per_40_minutes
0,James Michael McAdoo,,2.1,2,4.9,,9,-1.8,0,0.5,16.8,22,0.3,11,0.545,44,0.0,1.0,0.091,0.71,0.545,24,0.568,25,0.56,14,15,0,0,0,6-9,,137,United States of America,,-2.3,,12.2,15,0.2,,,,0.295,,0.0,1.0,0.023,0.023,0.25,0.705,21,17.7,mcadoja01,0,62,,PF,0,167122.0,2.5,,,0,,0,1.8,5,,GSW,0.0,0,,,0,,14.6,37,0.564,9.8,6,44,0.545,24,0.833,19.4,0.0,230,0.5,0.177,11.0,59,3.2,31,5.7,acc,3.9,14.9,140,1.9,0.458,378,0.458,173,0.68,257,0.537,138,34,34,6-9,1023,1.8,9.5,90,1.9,92,20.3,james-michael-mcadoo-1,484,473,Forward,2.5,45,north-carolina,0.019,7,0.0,0,12.2,230,0.484,8.8,48,371,0.466,173,25.5,230,3.9,0.151
1,Dwight Powell,,5.5,9,2.1,,6,-0.9,0,0.1,14.9,32,0.3,5,0.485,67,0.35,0.8,0.0,0.708,0.463,31,0.493,33,0.758,25,29,0,0,0,6-10,,236,Canada,,-1.0,,8.3,18,0.3,,,,0.104,0.273,0.164,0.836,0.299,0.075,0.104,0.358,40,13.8,poweldw01,0,90,,C,0,507336.0,11.5,,,0,,0,1.9,9,,TOT,0.164,11,0.273,0.333,3,1.0,11.6,50,0.552,11.9,11,56,0.5,28,0.714,17.5,0.1,240,0.6,0.122,20.4,112,2.8,30,6.5,pac-12,4.5,17.3,177,2.0,0.475,379,0.462,175,0.557,211,0.687,145,36,36,6-10,1167,2.0,7.3,70,1.8,113,19.7,dwight-powell-1,505,537,Forward,2.4,47,stanford,0.103,39,0.256,10,12.5,247,0.527,17.8,104,340,0.485,165,26.0,240,3.8,0.131
2,Grant Jerrett,,9.6,3.0,3.1,,2.0,-8.4,0,-1.5,15.2,7.0,0.1,0.0,0.288,26.0,0.0,1.0,0.667,1.0,0.269,7.0,0.038,1.0,1.0,1.0,8.0,0.0,0.0,0.0,6-10,,51.0,United States of America,,-6.8,,4.4,2.0,-0.2,,,,0.0,0.267,0.577,0.423,0.115,0.038,0.231,0.038,11.0,1.5,jerregr01,0,16.0,,,0,816481.0,18.0,,,0,,0,2.1,2.0,,TOT,0.577,15.0,0.067,0.0,1.0,1.0,9.9,9.0,0.303,10.2,3.0,11.0,0.545,6.0,0.5,25.4,-0.1,235,-0.1,-0.128,5.7,18,5.8,33,7.4,pac-12,4.7,17.9,85,1.1,0.513,154,0.409,63,0.143,22,0.818,18,34,2,6-10,606,2.7,7.6,37,1.2,44,16.6,grant-jerrett-1,176,170,Forward,1.6,16,arizona,0.513,79,0.405,32,12.7,122,0.535,10.4,19,75,0.413,31,15.6,235,2.3,0.15
3,Mitch McGary,,4.6,14.0,2.6,,16.0,-2.4,0,-0.1,24.4,112.0,0.7,14.0,0.533,165.0,0.25,0.4,0.353,0.685,0.533,88.0,0.242,40.0,0.625,25.0,32.0,2.0,0.0,0.0,6-10,,485.0,United States of America,,-2.3,,11.9,53.0,0.6,,,,0.097,0.5,0.012,0.988,0.073,0.152,0.206,0.558,72.0,16.6,mcgarmi01,0,201.0,,,0,1400040.0,5.5,,,0,,0,1.7,16.0,,OKC,0.012,2.0,0.0,0.0,0.0,,18.2,165.0,0.55,14.5,31.0,163.0,0.54,88.0,0.739,19.0,-0.1,255,1.3,0.127,12.6,12,3.2,6,11.9,big-ten,7.2,27.1,43,0.5,0.545,55,0.545,30,0.436,24,0.667,16,8,4,6-10,198,4.7,15.5,23,0.5,25,26.2,mitch-mcgary-1,76,84,Forward,4.9,15,michigan,0.036,2,0.0,0,21.5,66,0.572,16.4,13,53,0.566,30,22.5,255,1.0,0.208
4,Tarik Black,,5.6,42,1.6,,24,-1.6,0,-0.6,21.4,226,0.9,57,0.575,273,0.231,0.0,0.478,0.652,0.575,157,0.432,118,0.551,65,63,39,1,0,6-9,,1196,United States of America,,-1.0,,12.8,142,2.2,,,,0.231,0.0,0.004,0.996,0.048,0.018,0.245,0.685,158,14.7,blackta01,0,379,,C,0,507336.0,3.4,,,0,,0,0.8,19,,TOT,0.004,1,0.0,,0,,17.0,368,0.583,12.9,48,272,0.577,157,0.643,13.8,0.1,250,3.1,0.124,3.9,9,4.0,17,7.5,big-12,3.1,21.3,87,0.8,0.692,107,0.692,74,0.514,55,0.6,33,33,15,6-9,446,4.4,11.6,41,1.2,93,20.6,tarik-black-1,181,163,Forward,1.3,10,kansas,0.009,1,0.0,0,16.8,128,0.68,14.7,23,106,0.698,74,17.3,260,2.0,0.181
5,Nick Johnson,,6.3,11.0,0.9,,3.0,-7.3,0,-1.2,10.9,26.0,0.2,4.0,0.38,75.0,0.0,0.0,0.333,0.469,0.347,26.0,0.333,25.0,0.68,17.0,28.0,0.0,0.0,0.0,6-3,,262.0,United States of America,,-6.1,,5.5,13.0,-0.4,,,,0.067,0.333,0.28,0.72,0.027,0.027,0.24,0.427,34.0,4.8,johnsni01,0,74.0,,,0,507336.0,10.1,,,0,,0,1.3,7.0,,HOU,0.28,21.0,0.238,0.286,5.0,0.8,8.2,39.0,0.43,18.1,19.0,54.0,0.389,21.0,0.476,17.4,-0.3,202,-0.1,-0.02,17.6,107,2.0,25,10.3,pac-12,4.6,11.1,123,3.1,0.498,474,0.432,205,0.395,187,0.781,146,38,38,6-3,1257,5.7,3.0,31,3.6,76,21.5,nick-johnson-1,618,573,Guard,2.1,43,arizona,0.357,169,0.367,62,7.2,154,0.549,10.2,64,305,0.469,143,26.3,200,6.7,0.212
6,JaMychal Green,,4.0,4,2.4,,5,-2.1,0,-0.1,18.0,26,0.3,6,0.574,47,0.3,,1.0,0.741,0.574,27,0.213,10,0.8,8,24,1,0,0,6-8,,164,United States of America,,-2.0,,13.3,19,0.1,,,,0.128,0.5,0.128,0.872,0.213,0.0,0.085,0.574,25,14.9,greenja01,0,62,,PF,0,59686.0,8.4,,,0,,0,1.6,5,,TOT,0.128,6,0.0,0.0,0,,15.7,45,0.603,21.4,14,41,0.659,27,0.593,18.3,0.0,227,0.4,0.119,14.9,46,6.0,39,8.9,sec,5.7,20.8,129,1.8,0.55,249,0.546,136,0.518,129,0.69,89,26,22,6-8,760,3.3,10.5,63,2.0,82,25.3,jamychal-green-1,363,349.0,Forward,1.6,19,alabama,0.04,10,0.2,2,15.7,192,0.585,18.4,70,239,0.561,134,27.3,240,3.8,0.199
7,Will Cherry,,16.4,8,1.1,,1,-3.7,0,0.7,6.6,4,0.1,0,0.316,19,0.0,,0.333,0.333,0.263,5,0.316,6,0.5,3,8,0,0,0,6-0,,69,United States of America,,-4.4,,1.7,1,-0.1,,,,0.0,0.333,0.474,0.526,0.053,0.0,0.158,0.316,10,5.8,cherrwi01,0,15,,PG,0,25000.0,14.1,,,0,,0,4.5,6,,CLE,0.474,9,0.222,0.333,2,1.0,4.2,5,0.347,15.6,4,10,0.3,3,0.333,16.8,0.0,185,0.0,-0.021,25.9,86,1.2,8,2.3,big-sky,0.9,13.8,76,1.0,0.45,221,0.403,89,0.557,123,0.764,94,22,21,6-1,723,1.4,3.4,18,1.5,38,20.6,will-cherry-1,293,314,Guard,3.6,42,montana,0.362,80,0.263,21,8.7,94,0.524,17.2,58,141,0.482,68,26.1,177,2.5,0.137
8,Joe Harris,,7.7,26,0.3,,2,-4.5,0,-2.5,7.8,34,0.2,0,0.529,120,0.5,0.4,0.375,0.533,0.4,48,0.125,15,0.6,9,51,1,0,0,6-6,,493,United States of America,,-2.0,,1.7,7,0.0,,,,0.0,0.536,0.7,0.3,0.067,0.042,0.067,0.125,62,5.6,harrijo01,0,136,,SG,0,884879.0,19.4,,,0,,0,0.7,7,,CLE,0.7,84,0.369,0.378,31,0.968,4.8,41,0.537,17.6,27,36,0.472,17,0.765,14.1,-0.3,220,0.2,0.018,6.1,5,0.0,0,-6.4,southland,-5.2,12.5,15,0.0,0.56,42,0.452,19,0.095,4,0.0,0,15,1,6-6,151,-1.2,5.6,9,0.2,10,11.9,joe-harris-1,47,42,Forward,1.1,3,central-arkansas,0.571,24,0.375,9,8.6,24,0.535,12.0,6,18,0.556,10,14.9,198,0.2,0.051
9,Tim Frazier,,39.4,60,0.0,,0,-7.3,0,-2.4,10.2,22,0.2,0,0.385,61,0.25,0.375,0.154,0.6,0.344,21,0.344,21,0.476,10,11,3,0,0,6-0,,239,United States of America,,-4.9,,2.6,6,-0.3,,,,0.0,0.0,0.279,0.721,0.131,0.131,0.213,0.246,26,8.1,fraziti01,0,57,,PG,0,59686.0,13.1,,,0,,0,1.7,8,,TOT,0.279,17,0.294,,5,0.8,6.3,28,0.406,26.2,25,44,0.364,16,0.188,17.5,-0.3,170,-0.1,-0.017,33.1,182,0.6,6,6.1,big-ten,1.3,11.6,120,1.4,0.463,379,0.43,163,0.528,200,0.785,157,34,34,6-1,1196,4.8,3.0,31,2.7,87,20.1,tim-frazier-1,508,553,Guard,2.7,53,penn-state,0.227,86,0.291,25,7.3,151,0.536,16.3,92,293,0.471,138,24.7,170,4.1,0.136
10,Adreian Payne,,6.4,30,1.0,,9,-5.9,0,-1.3,18.2,114,0.2,16,0.416,220,0.409,0.344,0.4,0.517,0.414,91,0.209,46,0.652,30,32,22,0,0,6-10,,739,United States of America,,-4.6,,7.2,48,-0.7,,,,0.095,0.111,0.041,0.959,0.3,0.145,0.25,0.264,88,7.7,paynead01,0,213,,PF,0,1855320.0,10.5,,,0,,0,1.3,19,,TOT,0.041,9,0.111,0.0,1,1.0,12.5,162,0.443,15.5,44,211,0.427,90,0.633,17.0,-0.7,237,-0.5,-0.033,10.2,41,3.8,28,6.6,big-ten,2.1,22.9,177,1.7,0.565,354,0.503,178,0.39,138,0.79,109,31,28,6-10,870,4.5,6.8,48,2.7,80,25.1,adreian-payne-1,509,443,Center,1.0,15,michigan-state,0.294,104,0.423,44,15.2,225,0.607,13.1,63,250,0.536,134,28.9,245,4.3,0.2
11,Tyler Ennis,,27.3,73,1.0,,5,-6.7,0,-1.5,7.7,28,0.5,2,0.403,144,0.278,0.462,0.346,0.455,0.361,52,0.049,7,0.714,5,33,1,0,0,6-3,,411,Canada,,-5.2,,1.9,7,-0.8,,,,0.014,0.233,0.299,0.701,0.125,0.09,0.181,0.306,36,7.3,ennisty01,0,121,,PG,0,1590720.0,12.8,,,0,,0,2.2,18,,TOT,0.299,43,0.279,0.3,12,0.667,4.8,35,0.411,22.2,42,101,0.396,40,0.325,20.6,-0.5,194,-0.3,-0.04,32.3,187,0.7,6,7.7,acc,2.3,9.0,88,2.2,0.453,360,0.411,148,0.414,149,0.765,114,34,34,6-2,1215,5.4,2.6,27,3.2,69,21.3,tyler-ennis-1,440,480,Guard,3.9,71,syracuse,0.236,85,0.353,30,5.7,115,0.511,11.9,58,275,0.429,118,21.9,180,5.5,0.18
12,Erick Green,,15.1,39,0.0,,0,-5.4,0,-2.7,6.6,24,0.1,3,0.42,162,0.367,0.318,0.476,0.667,0.377,61,0.074,12,0.833,10,43,1,0,0,6-4,,410,United States of America,,-2.7,,1.8,7,-0.1,,,,0.019,0.34,0.29,0.71,0.37,0.136,0.13,0.074,26,8.9,greener01,0,146,,PG,0,507336.0,17.1,,,0,,0,1.5,12,,DEN,0.29,47,0.298,0.375,14,0.929,4.1,31,0.436,7.7,14,115,0.409,47,0.489,19.1,-0.3,185,0.0,0.0,27.0,121,0.6,6,9.5,acc,-1.8,11.6,112,0.3,0.53,550,0.475,261,0.485,267,0.816,218,32,32,6-3,1166,11.3,1.4,15,6.2,44,31.6,erick-green-1,801,753,Guard,2.1,42,virginia-tech,0.285,157,0.389,61,6.3,127,0.592,9.3,69,393,0.509,200,32.4,185,6.5,0.222
13,Gary Harris,,5.9,29,0.8,,7,-4.3,0,-0.1,6.7,43,0.5,10,0.353,217,0.321,0.368,0.294,0.48,0.304,66,0.217,47,0.745,35,55,6,0,0,6-4,,719,United States of America,,-4.2,,3.0,21,-1.2,,,,0.055,0.33,0.475,0.525,0.129,0.088,0.078,0.23,71,4.9,harriga01,0,188,,SG,0,1519200.0,16.3,,,0,,0,2.7,39,,DEN,0.475,103,0.204,0.147,21,0.905,4.8,64,0.395,13.8,38,114,0.395,45,0.511,16.6,-0.4,205,-0.7,-0.046,16.8,94,1.6,15,9.4,big-ten,2.5,10.2,103,2.0,0.518,455,0.429,195,0.312,142,0.81,115,35,34,6-4,1131,6.9,4.0,37,3.3,73,22.5,gary-harris-1,586,542,Guard,3.4,63,michigan-state,0.505,230,0.352,81,7.3,140,0.561,10.3,60,225,0.507,114,26.8,210,5.3,0.188
14,Marcus Smart,,16.3,208,0.8,,18,1.1,0,1.3,9.9,161,2.2,6,0.462,477,0.295,0.382,0.256,0.56,0.367,175,0.266,127,0.646,82,67,38,4,0,6-3,,1808,United States of America,,-0.1,,3.6,61,0.7,,,,0.015,0.176,0.57,0.43,0.092,0.071,0.09,0.176,176,11.0,smartma01,0,523,,SG,0,3283320.0,18.0,,,0,,0,2.7,99,,BOS,0.57,272,0.335,0.396,91,0.901,6.7,222,0.491,14.4,90,205,0.41,84,0.393,15.1,1.4,227,2.9,0.077,30.1,148,1.9,18,13.5,big-12,5.5,14.9,139,2.5,0.486,386,0.422,163,0.648,250,0.728,182,31,31,6-4,1014,8.0,5.1,44,3.1,91,26.9,marcus-smart-1,557,589,Guard,5.0,89,oklahoma-state,0.425,164,0.299,49,10.2,183,0.552,14.0,82,222,0.514,114,29.2,220,5.6,0.22
