,player_id,row_type,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes
0,raymar-morgan-1,2006-07,,24,,13,,big-ten,,,97.0,1.5,0.496,249,0.486,121,0.466,116,0.69,80,28,25.0,80,771.0,,,48.0,1.3,77.0,,327,,Forward,,19,michigan-state,0.064,16,0.313,5,,145,0.538,18.5,69.0,233,0.498,116,,230,2.8,0.148
1,raymar-morgan-1,2007-08,12.3,58,1.4,19,,big-ten,,,143.0,2.3,0.573,335,0.558,187,0.537,180,0.672,121,36,36.0,80,997.0,,,78.0,3.3,99.0,,505,,Forward,,33,michigan-state,0.099,33,0.303,10,13.2,221,0.6,16.5,83.0,302,0.586,177,26.2,230,5.6,0.224
2,raymar-morgan-1,2008-09,11.2,41,0.8,7,,big-ten,,,121.0,1.8,0.536,251,0.526,132,0.538,135,0.659,89,35,26.0,80,787.0,,,63.0,1.9,90.0,,358,,Forward,,23,michigan-state,0.084,21,0.238,5,13.6,184,0.568,16.4,62.0,230,0.552,127,23.6,230,3.7,0.19
3,raymar-morgan-1,2009-10,12.9,63,2.9,25,,big-ten,,16.8,145.0,1.9,0.538,291,0.529,154,0.481,140,0.671,94,36,33.0,80,979.0,,9.6,77.0,2.4,107.0,,407,391.0,Forward,2.4,38,michigan-state,0.058,17,0.294,5,13.3,222,0.569,16.2,69.0,274,0.544,149,22.0,230,4.3,0.174
4,raymar-morgan-1,Career,12.2,186,1.8,64,,,,16.8,506.0,7.5,0.539,1126,0.528,594,0.507,571,0.673,384,135,120.0,80,3534.0,,9.6,266.0,8.9,373.0,,1597,391.0,Forward,2.4,113,michigan-state,0.077,87,0.287,25,13.4,772,0.571,16.8,283.0,1039,0.548,569,24.0,230,16.4,0.186
5,erik-stevenson-1,2018-19,18.2,78,1.0,7,3.4,aac,3.0,16.2,116.0,1.4,0.417,240,0.325,78,0.217,52,0.788,41,37,11.0,75,811.0,0.4,2.6,20.0,0.2,102.0,10.0,241,250.0,Guard,2.2,31,wichita-state,0.658,158,0.278,44,9.2,136,0.455,18.0,58.0,82,0.415,34,19.5,210,1.6,0.077
6,erik-stevenson-1,2019-20,18.1,39,1.5,6,10.5,aac,4.9,18.3,73.0,1.3,0.515,168,0.417,70,0.28,47,0.766,36,15,15.0,75,435.0,5.6,1.9,8.0,1.2,35.0,21.6,209,192.0,Guard,3.5,28,wichita-state,0.542,91,0.363,33,10.0,81,0.549,9.9,21.0,77,0.481,37,22.7,210,2.5,0.232
7,erik-stevenson-1,Career,18.2,117,1.2,13,5.9,,3.7,16.9,189.0,2.7,0.457,408,0.363,148,0.243,99,0.778,77,52,26.0,75,1246.0,2.2,2.4,28.0,1.4,137.0,14.0,450,442.0,Guard,2.7,59,wichita-state,0.61,249,0.309,77,9.4,217,0.494,14.8,79.0,159,0.447,71,20.6,210,4.1,0.131
8,kevin-booze-1,2014-15,30.3,85,0.0,0,-5.2,southland,-3.9,7.6,34.0,0.5,0.443,149,0.349,52,0.403,60,0.817,49,29,13.0,61,534.0,-1.3,1.7,8.0,0.6,70.0,12.5,181,202.0,Guard,2.7,25,lamar,0.523,78,0.359,28,4.6,42,0.51,23.7,55.0,71,0.338,24,21.4,170,1.1,0.083
9,kevin-booze-1,2015-16,37.6,114,0.2,1,-3.6,southland,-3.3,9.5,53.0,0.7,0.488,204,0.422,86,0.368,75,0.707,53,27,18.0,61,606.0,-0.3,2.0,12.0,0.8,71.0,16.0,252,273.0,Guard,3.2,36,lamar,0.387,79,0.342,27,5.6,65,0.526,21.9,67.0,125,0.472,59,23.1,170,1.5,0.096
10,kevin-booze-1,Career,34.2,199,0.1,1,-4.4,,-3.6,8.6,87.0,1.2,0.469,353,0.391,138,0.382,135,0.756,102,56,31.0,61,1140.0,-0.8,1.9,20.0,1.4,141.0,14.3,433,475.0,Guard,3.0,61,lamar,0.445,157,0.35,55,5.1,107,0.519,22.6,122.0,196,0.423,83,22.3,170,2.6,0.09
11,brett-rau-1,2016-17,0.0,0,0.0,0,-2.5,sec,5.2,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,,0,5,0.0,76,7.0,-7.7,29.1,2.0,0.0,0.0,6.3,0,1.0,Guard,8.1,1,missouri,0.0,0,,0,15.2,2,0.0,50.0,1.0,1,0.0,0,14.0,170,0.0,-0.066
12,brett-rau-1,2017-18,7.7,2,0.0,0,-2.9,sec,0.2,2.2,1.0,0.0,0.5,9,0.444,4,0.333,3,0.333,1,11,0.0,76,50.0,-3.0,5.0,2.0,0.0,3.0,3.9,10,10.0,Guard,1.2,1,missouri,0.333,3,0.333,1,3.5,3,0.48,27.7,4.0,6,0.5,3,15.0,170,0.0,0.005
13,brett-rau-1,Career,6.8,2,0.0,0,-2.8,,0.8,1.9,1.0,0.1,0.45,10,0.4,4,0.3,3,0.333,1,16,0.0,76,57.0,-3.6,7.9,4.0,-0.1,3.0,4.2,10,11.0,Guard,2.0,2,missouri,0.3,3,0.333,1,4.9,5,0.438,30.4,5.0,7,0.429,3,14.9,170,0.0,-0.004
14,mario-stramaglia-1,2012-13,11.9,19,0.4,1,-8.5,atlantic-sun,-3.8,12.5,31.0,0.1,0.347,95,0.274,26,0.505,48,0.688,33,27,3.0,74,337.0,-4.6,3.0,9.0,-0.3,29.0,7.0,99,101.0,Guard,1.6,9,east-tennessee-state,0.589,56,0.25,14,7.4,40,0.42,19.8,29.0,39,0.308,12,23.0,180,-0.2,-0.022
15,mario-stramaglia-1,Career,11.9,19,0.4,1,-8.5,,-3.8,12.5,31.0,0.1,0.347,95,0.274,26,0.505,48,0.688,33,27,3.0,74,337.0,-4.6,3.0,9.0,-0.3,29.0,7.0,99,101.0,Guard,1.6,9,east-tennessee-state,0.589,56,0.25,14,7.4,40,0.42,19.8,29.0,39,0.308,12,23.0,180,-0.2,-0.022
16,theo-hatcher-1,2010-11,0.0,0,0.0,0,-7.3,america-east,-1.0,0.0,0.0,0.0,,0,,0,,0,,0,1,0.0,61,1.0,-6.3,0.0,0.0,0.0,0.0,0.0,0,0.0,Forward,0.0,0,albany-ny,,0,,0,0.0,0,,,0.0,0,,0,0.0,170,0.0,-0.002
17,theo-hatcher-1,Career,0.0,0,0.0,0,-7.3,,-1.0,0.0,0.0,0.0,,0,,0,,0,,0,1,0.0,61,1.0,-6.3,0.0,0.0,0.0,0.0,0.0,0,0.0,Forward,0.0,0,albany-ny,,0,,0,0.0,0,,,0.0,0,,0,0.0,170,0.0,-0.002
18,funtarov-georgi-1,2016-17,0.0,0,0.0,0,-15.1,big-west,-11.0,23.0,1.0,0.0,1.0,2,1.0,2,1.0,2,0.0,0,1,0.0,80,5.0,-4.2,23.1,1.0,0.0,2.0,24.4,4,2.0,Forward,0.0,0,california-davis,0.0,0,,0,23.1,2,0.678,25.3,1.0,2,1.0,2,39.4,214,0.0,-0.004
19,funtarov-georgi-1,Career,0.0,0,0.0,0,-15.1,,-11.0,23.0,1.0,0.0,1.0,2,1.0,2,1.0,2,0.0,0,1,0.0,80,5.0,-4.2,23.1,1.0,0.0,2.0,24.4,4,2.0,Forward,0.0,0,california-davis,0.0,0,,0,23.1,2,0.678,25.3,1.0,2,1.0,2,39.4,214,0.0,-0.004
20,nikola-bundalo-1,2008-09,,5,,36,,ovc,,,,,0.646,161,0.646,104,0.398,64,0.578,37,30,,73,,,,,,,,245,,Center,,14,southern-illinois-edwardsville,0.0,0,,0,,145,0.64,,,161,0.646,104,,240,,
21,nikola-bundalo-1,2009-10,4.2,8,4.6,23,,independent,,14.2,61.0,,0.546,141,0.546,77,0.177,25,0.64,16,28,20.0,73,487.0,,8.7,39.0,,71.0,,170,,Center,0.2,2,southern-illinois-edwardsville,0.007,1,0.0,0,11.4,100,0.556,19.5,37.0,140,0.55,77,19.8,240,,
22,nikola-bundalo-1,2010-11,2.6,7,4.1,30,-7.5,independent,-2.4,20.7,123.0,0.6,0.586,210,0.586,123,0.286,60,0.717,43,29,28.0,73,692.0,-5.1,8.7,51.0,0.7,89.0,17.1,289,252.0,Center,0.9,11,southern-illinois-edwardsville,0.0,0,,0,14.7,174,0.606,20.9,63.0,210,0.586,123,22.2,240,1.2,0.072
23,nikola-bundalo-1,Career,3.3,20,4.3,89,-7.5,,-2.4,18.0,184.0,0.6,0.594,512,0.594,304,0.291,149,0.644,96,87,48.0,73,1179.0,-5.1,8.7,90.0,0.7,160.0,17.1,704,252.0,Center,0.6,27,southern-illinois-edwardsville,0.002,1,0.0,0,13.3,419,0.604,20.4,100.0,511,0.595,304,21.2,240,1.2,0.042
24,justin-cecil-1,2007-08,,14,,16,,atlantic-sun,,,46.0,,0.425,133,0.361,48,0.211,28,0.679,19,19,3.0,80,487.0,,,33.0,,42.0,,132,,Forward,,13,mercer,0.414,55,0.309,17,,79,0.451,19.3,35.0,78,0.397,31,,225,,
25,justin-cecil-1,2010-11,5.4,10,2.7,10,-3.3,atlantic-sun,-2.1,16.1,57.0,0.6,0.434,159,0.346,55,0.195,31,0.774,24,30,8.0,80,433.0,-1.2,5.1,19.0,0.4,55.0,12.9,162,146.0,Forward,1.4,10,mercer,0.623,99,0.283,28,10.5,76,0.466,8.4,16.0,60,0.45,27,22.5,225,1.0,0.09
26,justin-cecil-1,2011-12,6.0,25,1.7,14,0.2,atlantic-sun,-2.2,12.3,97.0,1.2,0.526,344,0.407,140,0.18,62,0.79,49,38,38.0,80,952.0,2.4,5.4,39.0,2.1,76.0,16.6,411,355.0,Forward,1.0,16,mercer,0.657,226,0.363,82,9.0,136,0.55,10.3,43.0,118,0.492,58,23.2,225,3.3,0.139
27,justin-cecil-1,Career,5.8,49,2.0,40,-0.9,,-2.1,13.5,200.0,1.8,0.482,636,0.382,243,0.19,121,0.76,92,87,49.0,80,1872.0,1.3,5.3,91.0,2.5,173.0,15.5,705,501.0,Forward,1.1,39,mercer,0.597,380,0.334,127,9.5,291,0.508,11.9,94.0,256,0.453,116,23.0,225,4.3,0.092
28,maka-ellis-1,2018-19,11.6,26,0.0,0,-3.0,ivy,-2.3,13.1,46.0,0.4,0.561,114,0.465,53,0.123,14,0.929,13,25,0.0,77,413.0,-0.8,2.8,10.0,0.5,22.0,13.9,141,131.0,Guard,1.8,13,columbia,0.465,53,0.415,22,7.9,56,0.584,16.6,24.0,61,0.508,31,17.9,185,1.0,0.093
29,maka-ellis-1,2019-20,5.9,5,0.6,1,-9.5,ivy,-3.2,10.7,16.0,0.1,0.365,48,0.313,15,0.042,2,0.5,1,6,1.0,77,164.0,-6.3,2.0,3.0,-0.2,8.0,3.3,36,35.0,Guard,0.3,1,columbia,0.5,24,0.208,5,6.4,19,0.368,12.5,7.0,24,0.417,10,17.4,185,-0.1,-0.016
30,maka-ellis-1,Career,10.0,31,0.2,1,-4.9,,-2.5,12.4,62.0,0.6,0.503,162,0.42,68,0.099,16,0.875,14,31,1.0,77,577.0,-2.4,2.6,13.0,0.3,30.0,10.9,177,165.0,Guard,1.4,14,columbia,0.475,77,0.351,27,7.5,75,0.522,15.5,31.0,85,0.482,41,17.8,185,0.9,0.062
